Device Name,Date,Temperature (DegC),,Flow Rate (USGPM),TR
,,CHWR,CHWS,Flow,Load
BTU-2,2/17/2017 18:05,22.57,19.18,98,24.5
BTU-1,2/17/2017 18:00,21.59,18.92,127,25
BTU-2,2/17/2017 18:00,22.63,19.07,115.7,30.4
BTU-1,2/17/2017 17:55,21.86,19.09,134.9,27.5
BTU-2,2/17/2017 17:55,22.68,19.23,115.4,29.4
BTU-1,2/17/2017 17:50,21.55,18.95,130.7,24.9
BTU-2,2/17/2017 17:50,22.74,19.18,113.9,29.9
BTU-1,2/17/2017 17:45,22.58,19.19,94,23.5
BTU-2,2/17/2017 17:45,23.35,19.21,82.1,25
BTU-1,2/17/2017 17:40,22.74,18.84,95,27.3
BTU-2,2/17/2017 17:40,23.4,18.9,82.3,27.3
BTU-1,2/17/2017 17:35,22.38,19.1,94.5,22.8
BTU-2,2/17/2017 17:35,23.39,19.24,83,25.4
BTU-1,2/17/2017 17:30,22.66,19.23,110.6,28
BTU-2,2/17/2017 17:30,23.19,19.2,98.6,28.9
BTU-1,2/17/2017 17:25,22.51,19.04,95.6,24.4
BTU-2,2/17/2017 17:25,23.33,19.02,82.3,26.1
BTU-1,2/17/2017 17:20,--,--,--,--
BTU-2,2/17/2017 17:20,--,--,--,--
BTU-1,2/17/2017 17:15,22.52,19.04,95.7,24.5
BTU-2,2/17/2017 17:15,23.42,19.11,83.6,26.6
BTU-1,2/17/2017 17:10,22.8,19.52,94.8,22.9
BTU-2,2/17/2017 17:10,23.31,19.43,82.6,23.6
BTU-1,2/17/2017 17:05,22.06,18.79,95.9,23
BTU-2,2/17/2017 17:05,22.98,18.99,81.9,24.1
BTU-1,2/17/2017 17:00,21.79,19.19,134.5,25.8
BTU-2,2/17/2017 17:00,22.64,19.19,116.5,29.6
BTU-1,2/17/2017 16:55,21.64,18.91,133,26.7
BTU-2,2/17/2017 16:55,22.64,19.16,118.3,30.3
BTU-1,2/17/2017 16:50,21.65,19.04,132.1,25.4
BTU-2,2/17/2017 16:50,22.64,19.2,118,29.8
BTU-1,2/17/2017 16:45,22.64,18.94,95.6,26.1
BTU-2,2/17/2017 16:45,23.34,18.85,84.3,27.9
BTU-1,2/17/2017 16:40,22.65,18.95,94.9,25.9
BTU-2,2/17/2017 16:40,23.37,19.11,84.8,26.6
BTU-1,2/17/2017 16:35,22.44,18.95,96.1,24.6
BTU-2,2/17/2017 16:35,23.53,19.11,84.2,27.4
BTU-1,2/17/2017 16:30,22.91,19.5,97.7,24.5
BTU-2,2/17/2017 16:30,23.44,19.62,83.9,23.5
BTU-1,2/17/2017 16:25,22.77,18.94,99.9,28.2
BTU-2,2/17/2017 16:25,23.53,19.01,83,27.6
BTU-1,2/17/2017 16:20,22.73,19.54,95.6,22.5
BTU-2,2/17/2017 16:20,23.5,19.59,83.5,24
BTU-1,2/17/2017 16:15,--,--,--,--
BTU-2,2/17/2017 16:15,--,--,--,--
BTU-1,2/17/2017 16:10,22.65,19.58,95,21.5
BTU-2,2/17/2017 16:10,23.56,19.62,82.6,23.9
BTU-1,2/17/2017 16:05,22.69,19.09,93.1,24.7
BTU-2,2/17/2017 16:05,23.61,19.18,83.6,27.3
BTU-1,2/17/2017 16:00,22.6,20.19,91.7,16.2
BTU-2,2/17/2017 16:00,22.96,20.14,82.9,17.2
BTU-1,2/17/2017 15:55,22.01,19.42,131.3,25.1
BTU-2,2/17/2017 15:55,22.74,19.45,115.4,28
BTU-1,2/17/2017 15:50,22.52,18.94,100.4,26.5
BTU-2,2/17/2017 15:50,23.56,19.01,85.9,28.8
BTU-1,2/17/2017 15:45,22.9,19.65,96.5,23.1
BTU-2,2/17/2017 15:45,23.94,19.54,82.5,26.7
BTU-1,2/17/2017 15:40,--,--,--,--
BTU-2,2/17/2017 15:40,--,--,--,--
BTU-1,2/17/2017 15:35,22.28,21.01,99.5,9.3
BTU-2,2/17/2017 15:35,22.21,20.89,84.1,8.1
BTU-1,2/17/2017 15:30,21,17.27,100.7,27.7
BTU-2,2/17/2017 15:30,23.28,17.48,85.3,36.5
BTU-1,2/17/2017 15:25,22.84,19.75,120.9,27.5
BTU-2,2/17/2017 15:25,23.48,19.65,105.1,29.7
BTU-1,2/17/2017 15:20,23.27,19.4,105.9,30.2
BTU-2,2/17/2017 15:20,23.35,19.61,92.3,25.4
BTU-1,2/17/2017 15:15,22.16,18.9,104.8,25.2
BTU-2,2/17/2017 15:15,22.99,19.24,92.6,25.6
BTU-1,2/17/2017 15:10,22.34,19.39,99.4,21.6
BTU-2,2/17/2017 15:10,23.18,19.39,89.7,25
BTU-1,2/17/2017 15:05,22.32,19.53,111.3,22.9
BTU-2,2/17/2017 15:05,22.94,19.54,98.2,24.5
BTU-1,2/17/2017 15:00,22.08,19.2,110.9,23.4
BTU-2,2/17/2017 15:00,22.87,19.2,98.1,26.5
BTU-1,2/17/2017 14:55,22.04,19.04,110.3,24.4
BTU-2,2/17/2017 14:55,22.8,19.11,97.7,26.6
BTU-1,2/17/2017 14:50,21.85,19.15,134.2,26.7
BTU-2,2/17/2017 14:50,22.59,19.08,114.1,29.5
BTU-1,2/17/2017 14:45,21.81,19.14,131.7,25.9
BTU-2,2/17/2017 14:45,22.55,19.16,115.3,28.8
BTU-1,2/17/2017 14:40,21.69,19.08,130.9,25.2
BTU-2,2/17/2017 14:40,22.42,19.18,116.4,27.8
BTU-1,2/17/2017 14:35,22.06,18.57,101.1,26
BTU-2,2/17/2017 14:35,22.6,18.62,87.1,25.5
BTU-1,2/17/2017 14:30,21.87,17.95,100.6,29.1
BTU-2,2/17/2017 14:30,23.28,18.06,86.9,33.4
BTU-1,2/17/2017 14:25,22.76,19.51,107.6,25.8
BTU-2,2/17/2017 14:25,23.55,19.45,94.9,28.6
BTU-1,2/17/2017 14:20,23.49,19.26,98.7,30.8
BTU-2,2/17/2017 14:20,23.3,19.29,85.1,25.2
BTU-1,2/17/2017 14:15,22.31,18.84,97.5,24.9
BTU-2,2/17/2017 14:15,23.5,18.99,84.5,28.1
BTU-1,2/17/2017 14:10,23.16,19.66,94.2,24.3
BTU-2,2/17/2017 14:10,23.35,19.56,83.2,23.2
BTU-1,2/17/2017 14:05,21.16,19.67,97.5,10.7
BTU-2,2/17/2017 14:05,23.02,19.76,85.7,20.6
BTU-1,2/17/2017 14:00,21.64,19.16,127.9,23.4
BTU-2,2/17/2017 14:00,22.79,19.45,112.3,27.6
BTU-1,2/17/2017 13:55,22.91,18.99,96,27.7
BTU-2,2/17/2017 13:55,23.54,18.98,84.2,28.3
BTU-1,2/17/2017 13:50,22.93,19.56,96.1,23.9
BTU-2,2/17/2017 13:50,23.24,19.51,82.5,22.7
BTU-1,2/17/2017 13:45,21.98,19.59,99.3,17.5
BTU-2,2/17/2017 13:45,22.58,19.57,86,19
BTU-1,2/17/2017 13:40,21.53,19.11,134,23.9
BTU-2,2/17/2017 13:40,22.77,18.87,117.2,33.7
BTU-1,2/17/2017 13:35,22.64,18.49,101.3,31
BTU-2,2/17/2017 13:35,23.44,18.62,87.4,31.1
BTU-1,2/17/2017 13:30,22.65,19.62,103.8,23.2
BTU-2,2/17/2017 13:30,23.37,19.64,91.8,25.2
BTU-1,2/17/2017 13:25,22.67,19.2,105.1,26.9
BTU-2,2/17/2017 13:25,23.23,19.34,92,26.4
BTU-1,2/17/2017 13:20,22.4,19.2,105.6,24.9
BTU-2,2/17/2017 13:20,23.4,19.27,91.3,27.8
BTU-1,2/17/2017 13:15,22.6,19.58,107.4,23.9
BTU-2,2/17/2017 13:15,23.33,19.53,92.5,25.9
BTU-1,2/17/2017 13:10,23.02,19.14,105.1,30.1
BTU-2,2/17/2017 13:10,23.71,19.26,89.8,29.5
BTU-1,2/17/2017 13:05,22.53,20.33,101.6,16.4
BTU-2,2/17/2017 13:05,23.27,20.4,89.8,19
BTU-1,2/17/2017 13:00,22.46,19.33,101.8,23.5
BTU-2,2/17/2017 13:00,23.23,19.41,89,25
BTU-1,2/17/2017 12:55,22.58,19.4,102.7,24.1
BTU-2,2/17/2017 12:55,23.26,19.42,90.7,25.7
BTU-1,2/17/2017 12:50,22.62,19.45,106.4,24.8
BTU-2,2/17/2017 12:50,23.15,19.36,89.1,24.9
BTU-1,2/17/2017 12:45,22.22,19.44,102.6,21
BTU-2,2/17/2017 12:45,23.03,19.34,90,24.5
BTU-1,2/17/2017 12:40,22.5,19.36,102.7,23.8
BTU-2,2/17/2017 12:40,23.15,19.33,89.1,25.1
BTU-1,2/17/2017 12:35,22.29,19.25,103,23.1
BTU-2,2/17/2017 12:35,23.43,19.29,90,27.5
BTU-1,2/17/2017 12:30,23.06,19.81,101.2,24.2
BTU-2,2/17/2017 12:30,23.43,19.75,88.3,23.9
BTU-1,2/17/2017 12:25,22.23,19.81,104.4,18.6
BTU-2,2/17/2017 12:25,23.14,20,88.6,20.5
BTU-1,2/17/2017 12:20,22.11,19.04,103.2,23.2
BTU-2,2/17/2017 12:20,23.17,19.24,90.1,26.1
BTU-1,2/17/2017 12:15,22.84,18.86,102.6,30.1
BTU-2,2/17/2017 12:15,23.58,18.94,88.3,30.2
BTU-1,2/17/2017 12:10,23.04,19.82,101.8,24.1
BTU-2,2/17/2017 12:10,23.41,19.92,88.5,22.8
BTU-1,2/17/2017 12:05,22.32,19.9,107.4,19.1
BTU-2,2/17/2017 12:05,23,19.82,91,21.3
BTU-1,2/17/2017 12:00,22.18,19.19,103.1,22.7
BTU-2,2/17/2017 12:00,23.37,19.07,91.6,29
BTU-1,2/17/2017 11:55,23.05,19.33,101.9,28
BTU-2,2/17/2017 11:55,23.5,19.32,89.1,27.4
BTU-1,2/17/2017 11:50,22.81,20.04,101.6,20.6
BTU-2,2/17/2017 11:50,23.02,19.92,88.9,20.3
BTU-1,2/17/2017 11:45,22.13,18.99,100.7,23.3
BTU-2,2/17/2017 11:45,22.98,19.12,89.5,25.4
BTU-1,2/17/2017 11:40,22.31,19.12,101.8,23.8
BTU-2,2/17/2017 11:40,23.03,19.14,89.5,25.7
BTU-1,2/17/2017 11:35,22.07,18.89,103.3,24.2
BTU-2,2/17/2017 11:35,22.92,19.04,89.4,25.5
BTU-1,2/17/2017 11:30,22.2,18.99,102.1,24.1
BTU-2,2/17/2017 11:30,23.25,18.95,88.2,28
BTU-1,2/17/2017 11:25,22.43,19.31,101.5,23.3
BTU-2,2/17/2017 11:25,23.28,19.45,88.4,24.9
BTU-1,2/17/2017 11:20,22.44,19.4,103.4,23.1
BTU-2,2/17/2017 11:20,23.24,19.54,88.4,24.1
BTU-1,2/17/2017 11:15,22.44,19.43,101.9,22.6
BTU-2,2/17/2017 11:15,23.18,19.53,89.2,24
BTU-1,2/17/2017 11:10,22.5,19.4,100.6,23
BTU-2,2/17/2017 11:10,23.18,19.43,89.1,24.6
BTU-1,2/17/2017 11:05,22.56,19.62,100.3,21.6
BTU-2,2/17/2017 11:05,22.92,19.53,89.4,22.3
BTU-1,2/17/2017 11:00,22.31,19.21,127.1,28.9
BTU-2,2/17/2017 11:00,22.99,19.18,105.4,29.6
BTU-1,2/17/2017 10:55,22.21,19.15,97.2,21.9
BTU-2,2/17/2017 10:55,22.76,19.14,85.2,22.7
BTU-1,2/17/2017 10:50,21.84,18.87,109.8,24
BTU-2,2/17/2017 10:50,22.68,19.04,96,25.7
BTU-1,2/17/2017 10:45,21.78,18.78,110,24.3
BTU-2,2/17/2017 10:45,22.54,18.85,96.4,26.2
BTU-1,2/17/2017 10:40,21.68,18.68,110.9,24.5
BTU-2,2/17/2017 10:40,22.64,18.81,96.4,27.2
BTU-1,2/17/2017 10:35,21.92,18.77,110,25.5
BTU-2,2/17/2017 10:35,22.78,18.86,96.2,27.8
BTU-1,2/17/2017 10:30,22.39,19.08,110.4,26.9
BTU-2,2/17/2017 10:30,22.78,19.08,94.8,25.9
BTU-1,2/17/2017 10:25,21.79,19.06,106.5,21.4
BTU-2,2/17/2017 10:25,22.39,19.1,92.4,22.4
BTU-1,2/17/2017 10:20,21.61,19.02,127.6,24.3
BTU-2,2/17/2017 10:20,22.4,19.12,114,27.5
BTU-1,2/17/2017 10:15,21.76,19.15,121.3,23.3
BTU-2,2/17/2017 10:15,22.4,19.09,103,25.1
BTU-1,2/17/2017 10:10,21.74,19.03,131.9,26.3
BTU-2,2/17/2017 10:10,22.35,18.98,115.4,28.7
BTU-1,2/17/2017 10:05,21.63,18.73,118.2,25.3
BTU-2,2/17/2017 10:05,22.45,18.87,101,26.6
BTU-1,2/17/2017 10:00,21.67,18.74,112,24.2
BTU-2,2/17/2017 10:00,22.36,18.74,96,25.6
BTU-1,2/17/2017 9:55,21.58,18.6,108.2,23.8
BTU-2,2/17/2017 9:55,22.31,18.65,95.6,25.8
BTU-1,2/17/2017 9:50,21.59,18.56,112.4,25.1
BTU-2,2/17/2017 9:50,22.2,18.49,97.2,26.6
BTU-1,2/17/2017 9:45,21.43,18.31,109,25
BTU-2,2/17/2017 9:45,22.25,18.43,96.1,27.1
BTU-1,2/17/2017 9:40,21.55,18.36,111.7,26.2
BTU-2,2/17/2017 9:40,22.21,18.35,96,27.3
BTU-1,2/17/2017 9:35,21.32,18.25,113,25.5
BTU-2,2/17/2017 9:35,22,18.29,97.9,26.7
BTU-1,2/17/2017 9:30,21.44,18.4,112.1,25.1
BTU-2,2/17/2017 9:30,22,18.31,99.2,27
BTU-1,2/17/2017 9:25,21.29,18.21,115.6,26.2
BTU-2,2/17/2017 9:25,22.02,18.29,98.5,27.1
BTU-1,2/17/2017 9:20,21.36,18.24,113.5,26.1
BTU-2,2/17/2017 9:20,22.12,18.4,99.7,27.3
BTU-1,2/17/2017 9:15,21.55,18.44,117.1,26.8
BTU-2,2/17/2017 9:15,22.14,18.45,98.4,26.7
BTU-1,2/17/2017 9:10,21.58,18.51,112.5,25.5
BTU-2,2/17/2017 9:10,22.05,18.48,97.4,25.6
BTU-1,2/17/2017 9:05,21.39,18.31,115.6,26.2
BTU-2,2/17/2017 9:05,22.12,18.45,99.3,26.9
BTU-1,2/17/2017 9:00,21.33,18.25,114.9,26.1
BTU-2,2/17/2017 9:00,22.12,18.43,98.6,26.8
BTU-1,2/17/2017 8:55,21.29,18.27,112.9,25.1
BTU-2,2/17/2017 8:55,22.21,18.48,99,27.2
BTU-1,2/17/2017 8:50,21.56,18.5,114.1,25.7
BTU-2,2/17/2017 8:50,22.16,18.46,98.6,26.8
BTU-1,2/17/2017 8:45,21.38,18.32,115.5,26
BTU-2,2/17/2017 8:45,22.17,18.5,99.5,26.9
BTU-1,2/17/2017 8:40,21.39,18.35,110.3,24.7
BTU-2,2/17/2017 8:40,22.14,18.41,99.7,27.4
BTU-1,2/17/2017 8:35,21.55,18.53,113.3,25.2
BTU-2,2/17/2017 8:35,22.15,18.41,99.3,27.4
BTU-1,2/17/2017 8:30,21.42,18.37,112.5,25.3
BTU-2,2/17/2017 8:30,22.22,18.46,99,27.4
BTU-1,2/17/2017 8:25,21.42,18.36,114.4,25.8
BTU-2,2/17/2017 8:25,22.12,18.42,98.6,26.9
BTU-1,2/17/2017 8:20,21.5,18.42,113.6,25.8
BTU-2,2/17/2017 8:20,22.13,18.49,99.2,26.6
BTU-1,2/17/2017 8:15,21.55,18.45,115.8,26.4
BTU-2,2/17/2017 8:15,22.06,18.4,98.8,26.7
BTU-1,2/17/2017 8:10,21.31,18.31,113.2,25
BTU-2,2/17/2017 8:10,22.01,18.31,99.9,27.3
BTU-1,2/17/2017 8:05,21.44,18.39,115.1,25.9
BTU-2,2/17/2017 8:05,22.12,18.35,99,27.5
BTU-1,2/17/2017 8:00,21.3,18.18,117.9,27.1
BTU-2,2/17/2017 8:00,22.13,18.36,98.6,27.4
BTU-1,2/17/2017 7:55,21.58,18.42,110.9,25.8
BTU-2,2/17/2017 7:55,22.21,18.49,99.1,27.2
BTU-1,2/17/2017 7:50,21.34,18.27,113.3,25.6
BTU-2,2/17/2017 7:50,22.13,18.41,98.8,27.1
BTU-1,2/17/2017 7:45,21.3,18.25,113.3,25.5
BTU-2,2/17/2017 7:45,22.12,18.4,99.2,27.2
BTU-1,2/17/2017 7:40,21.43,18.34,114.3,26
BTU-2,2/17/2017 7:40,22.25,18.5,99,27.4
BTU-1,2/17/2017 7:35,21.61,18.49,114.9,26.4
BTU-2,2/17/2017 7:35,22.15,18.45,100,27.3
BTU-1,2/17/2017 7:30,21.47,18.45,113.9,25.3
BTU-2,2/17/2017 7:30,22.13,18.44,99.5,27.1
BTU-1,2/17/2017 7:25,21.39,18.37,113.9,25.3
BTU-2,2/17/2017 7:25,22.18,18.5,98.3,26.7
BTU-1,2/17/2017 7:20,21.29,18.25,115.4,25.9
BTU-2,2/17/2017 7:20,22.1,18.45,99,26.6
BTU-1,2/17/2017 7:15,21.44,18.42,113.7,25.3
BTU-2,2/17/2017 7:15,22.11,18.4,98.8,27
BTU-1,2/17/2017 7:10,21.5,18.42,113.7,25.8
BTU-2,2/17/2017 7:10,22.19,18.5,98,26.7
BTU-1,2/17/2017 7:05,21.47,18.42,112.8,25.3
BTU-2,2/17/2017 7:05,22.17,18.45,99.7,27.3
BTU-1,2/17/2017 7:00,21.43,18.42,115.7,25.7
BTU-2,2/17/2017 7:00,22.16,18.46,98.1,26.7
BTU-1,2/17/2017 6:55,21.47,18.43,114.8,25.7
BTU-2,2/17/2017 6:55,22.11,18.41,99.4,27.1
BTU-1,2/17/2017 6:50,21.49,18.45,113.3,25.3
BTU-2,2/17/2017 6:50,22.16,18.45,98.8,27
BTU-1,2/17/2017 6:45,21.37,18.34,116,25.9
BTU-2,2/17/2017 6:45,22.17,18.43,98.3,27.1
BTU-1,2/17/2017 6:40,21.53,18.53,114.4,25.3
BTU-2,2/17/2017 6:40,22.21,18.46,99,27.3
BTU-1,2/17/2017 6:35,21.61,18.51,113.1,25.8
BTU-2,2/17/2017 6:35,22.22,18.46,99,27.4
BTU-1,2/17/2017 6:30,21.45,18.4,116.3,26.1
BTU-2,2/17/2017 6:30,22.21,18.48,99.4,27.3
BTU-1,2/17/2017 6:25,21.55,18.54,114.7,25.4
BTU-2,2/17/2017 6:25,22.21,18.53,99.5,27
BTU-1,2/17/2017 6:20,21.38,18.39,114.6,25.2
BTU-2,2/17/2017 6:20,22.14,18.46,100.3,27.1
BTU-1,2/17/2017 6:15,21.48,18.44,111.3,24.9
BTU-2,2/17/2017 6:15,22.18,18.49,99.8,27.1
BTU-1,2/17/2017 6:10,21.34,18.34,114.2,25.2
BTU-2,2/17/2017 6:10,22.15,18.49,99.3,26.8
BTU-1,2/17/2017 6:05,21.53,18.51,113.1,25.2
BTU-2,2/17/2017 6:05,22.07,18.37,99.5,27.1
BTU-1,2/17/2017 6:00,21.26,18.26,112.3,24.8
BTU-2,2/17/2017 6:00,22.07,18.37,99.5,27.1
